experiment,run_id,method,target,input_variant,scale_percent,repetition,D,D_regular,D_exception,D_exception_detection_f1,D_root_cause_macro_jaccard,D_exception_disposition_accuracy,D_passed,D_applicable,D_NA,N,N_passed,N_applicable,N_NA,E,EICPI_core_0_100,record_count,seconds_per_record,method_boundary_status,method_boundary_failures,method_boundary_warnings
C,C-25-IND-DET-R1,deterministic_program,INDUSTRIAL,B0,25,1,0.4500111582236108,0.9000223164472216,0.0,0.5384615384615384,0.0,0.3684210526315789,24542,27370,958,0.9337771413089755,24126,25837,2526,,,1014,0.0009993178421733404,not_applicable,[],[]
C,C-25-IND-FULL-R1,full,INDUSTRIAL,B0,25,1,1.0,1.0,1.0,1.0,1.0,1.0,27349,27349,958,1.0,27751,27751,610,,,1014,0.05778533822286937,pass,[],[]
C,C-25-POW-FULL-R1,full,POWER,B0,25,1,1.0,1.0,1.0,1.0,1.0,1.0,4179,4179,112,1.0,2804,2804,1186,,,145,0.4155156520139105,pass,[],[]
C,C-25-POW-DET-R1,deterministic_program,POWER,B0,25,1,0.44047291723948306,0.8809458344789661,0.0,0.888888888888889,0.0,0.5538461538461539,3628,4231,112,0.8883720930232558,2292,2580,1410,,,145,0.0062908270139375635,not_applicable,[],[]
C,C-25-POW-GEN-R1,generic_tool_agent,POWER,B0,25,1,0.1528732471817432,0.3057464943634864,0.0,0.6190476190476191,0.0,0.9692307692307692,1563,4324,112,0.13900301287318542,2030,14604,1410,,,145,8.005956987358614,pass,[],[]
C,C-50-IND-GEN-R1,generic_tool_agent,INDUSTRIAL,B0,50,1,0.30418236764541284,0.6083647352908257,0.0,0.0,,0.3937007874015748,33047,54600,1892,0.8097090474292546,50789,62725,2420,,,2026,0.5285520504481828,pass,[],[]
C,C-50-IND-DET-R1,deterministic_program,INDUSTRIAL,B0,50,1,0.4492314293176137,0.8984628586352273,0.0,0.5402298850574713,0.0,0.36220472440944884,48899,54646,1892,0.9317009809623512,48059,51582,5086,,,2026,0.0009021785745233102,not_applicable,[],[]
C,C-50-IND-FULL-R1,full,INDUSTRIAL,B0,50,1,1.0,1.0,1.0,1.0,1.0,1.0,54599,54599,1892,1.0,55362,55362,1302,,,2026,0.03097958833068611,pass,[],[]
C,C-50-POW-DET-R1,deterministic_program,POWER,B0,50,1,0.438862440491105,0.87772488098221,0.0,0.8750000000000001,0.0,0.496,7798,9105,232,0.8867892114756915,5162,5821,2674,,,308,0.0048627571689264315,not_applicable,[],[]
C,C-50-POW-FULL-R1,full,POWER,B0,50,1,1.0,1.0,1.0,1.0,1.0,1.0,9006,9006,232,1.0,6296,6296,2200,,,308,0.18730223769161022,pass,[],[]
