experiment,run_id,method,target,input_variant,scale_percent,repetition,D,D_passed,D_applicable,D_NA,N,N_passed,N_applicable,N_NA,E,EICPI_core_0_100,record_count,seconds_per_record,method_boundary_status,method_boundary_failures,method_boundary_warnings
C,C-100-POW-GEN-R1,generic_tool_agent,POWER,B0,100,1,0.6048723510762556,10875,17979,464,0.6070166136443973,6869,11316,5624,,,615,2.557852600000011,pass,[],[]
C,C-100-POW-FULL-R1,full,POWER,B0,100,1,1.0,17974,17974,464,1.0,12532,12532,4430,,,615,0.0959635260846178,pass,[],[]
C,C-100-POW-DET-R1,deterministic_program,POWER,B0,100,1,0.8546985035211268,15535,18176,464,0.8857808857808858,10260,11583,5378,,,615,0.01299827411871146,not_applicable,[],[]
C,C-25-IND-FULL-R2,full,INDUSTRIAL,B0,25,2,1.0,27349,27349,958,1.0,27751,27751,610,,,1014,0.05937508308677475,pass,[],[]
C,C-25-IND-GEN-R2,generic_tool_agent,INDUSTRIAL,B0,25,2,0.637201140601009,17430,27354,958,0.5752420250753849,18123,31505,1082,,,1014,0.9106744299388442,pass,[],[]
C,C-25-IND-DET-R2,deterministic_program,INDUSTRIAL,B0,25,2,0.8966751918158568,24542,27370,958,0.9337771413089755,24126,25837,2526,,,1014,0.0010230692386621687,not_applicable,[],[]
C,C-25-POW-DET-R2,deterministic_program,POWER,B0,25,2,0.8574805010635783,3628,4231,112,0.8883720930232558,2292,2580,1410,,,145,0.00617232557249673,not_applicable,[],[]
C,C-25-POW-FULL-R2,full,POWER,B0,25,2,1.0,4179,4179,112,1.0,2804,2804,1186,,,145,0.4059514451169826,pass,[],[]
C,C-25-POW-GEN-R2,generic_tool_agent,POWER,B0,25,2,0.38417403777193404,1607,4183,112,0.8883720930232558,2292,2580,1410,,,145,6.478143514082607,fail,"[""GENERIC_ACCESSED_PATH_OUTSIDE_RUN_PACKAGE""]",[]
C,C-50-IND-DET-R2,deterministic_program,INDUSTRIAL,B0,50,2,0.8948321926582,48899,54646,1892,0.9317009809623512,48059,51582,5086,,,2026,0.0009093370760017813,not_applicable,[],[]
C,C-50-IND-FULL-R2,full,INDUSTRIAL,B0,50,2,1.0,54599,54599,1892,1.0,55362,55362,1302,,,2026,0.037171734307991686,pass,[],"[""NONEXISTENT_TOOL_CALL_NOT_EXECUTED""]"
C,C-50-IND-GEN-R2,generic_tool_agent,INDUSTRIAL,B0,50,2,0.5730820650879989,31292,54603,1892,0.7982628424367614,47147,59062,6030,,,2026,0.5856761545123454,pass,[],[]
C,C-50-POW-FULL-R2,full,POWER,B0,50,2,1.0,9006,9006,232,1.0,6296,6296,2200,,,308,0.17926586810053424,pass,[],[]
C,C-50-POW-DET-R2,deterministic_program,POWER,B0,50,2,0.8564524986271279,7798,9105,232,0.8867892114756915,5162,5821,2674,,,308,0.004804826162410779,not_applicable,[],[]
C,C-50-POW-GEN-R2,generic_tool_agent,POWER,B0,50,2,0.3816607460035524,3438,9008,232,0.16464465546956844,4872,29591,2776,,,308,4.18111064028586,pass,[],[]
C,C-75-IND-DET-R2,deterministic_program,INDUSTRIAL,B0,75,2,0.8942127503215138,73008,81645,2819,0.9311718820979402,71744,77047,7618,,,3027,0.0008792826230660805,not_applicable,[],[]
C,C-75-IND-FULL-R2,full,INDUSTRIAL,B0,75,2,1.0,81573,81573,2819,1.0,82679,82679,1980,,,3027,0.025974054330329805,pass,[],[]
C,C-75-IND-GEN-R2,generic_tool_agent,INDUSTRIAL,B0,75,2,0.5876483279395901,47938,81576,2819,0.8428025325528611,70551,83710,8978,,,3027,0.4749234701988838,pass,[],[]
C,C-75-POW-GEN-R2,generic_tool_agent,POWER,B0,75,2,0.33562294483010596,4593,13685,359,0.11443376629305818,5013,43807,4940,,,470,2.2918169250000924,pass,[],[]
C,C-75-POW-FULL-R2,full,POWER,B0,75,2,1.0,13684,13684,359,1.0,9623,9623,3342,,,470,0.1305961562957159,pass,[],[]
C,C-75-POW-DET-R2,deterministic_program,POWER,B0,75,2,0.8546440187929165,11824,13835,359,0.8861029907803013,7881,8894,4070,,,470,0.005320940512737775,not_applicable,[],[]
C,C-100-IND-GEN-R2,generic_tool_agent,INDUSTRIAL,B0,100,2,0.5932190958183202,64703,109071,3775,0.8364364272237816,90883,108655,15040,,,4046,0.3583682344187013,pass,[],[]
C,C-100-IND-FULL-R2,full,INDUSTRIAL,B0,100,2,1.0,109067,109067,3775,1.0,110573,110573,2588,,,4046,0.02609318009566988,pass,[],[]
C,C-100-IND-DET-R2,deterministic_program,INDUSTRIAL,B0,100,2,0.8947190033435625,97672,109165,3775,0.9315462036434928,95980,103033,10138,,,4046,0.0021610661146580414,not_applicable,[],[]
C,C-100-POW-FULL-R2,full,POWER,B0,100,2,1.0,17974,17974,464,1.0,12532,12532,4430,,,615,0.12667666206011413,pass,[],[]
C,C-100-POW-DET-R2,deterministic_program,POWER,B0,100,2,0.8546985035211268,15535,18176,464,0.8857808857808858,10260,11583,5378,,,615,0.013267790582182446,not_applicable,[],[]
C,C-100-POW-GEN-R2,generic_tool_agent,POWER,B0,100,2,0.33301813327400154,5987,17978,464,0.08971664740289306,5123,57102,7628,,,615,1.7894174572489248,pass,[],[]
C,C-25-IND-GEN-R3,generic_tool_agent,INDUSTRIAL,B0,25,3,0.5765393636013582,16470,28567,958,0.8084510842073315,23973,29653,2926,,,1014,1.1739286656805572,pass,[],[]
C,C-25-IND-DET-R3,deterministic_program,INDUSTRIAL,B0,25,3,0.8966751918158568,24542,27370,958,0.9337771413089755,24126,25837,2526,,,1014,0.001014026955685797,not_applicable,[],[]
C,C-25-IND-FULL-R3,full,INDUSTRIAL,B0,25,3,1.0,27349,27349,958,1.0,27751,27751,610,,,1014,0.06935505777415112,pass,[],[]
C,C-25-POW-DET-R3,deterministic_program,POWER,B0,25,3,0.8574805010635783,3628,4231,112,0.8883720930232558,2292,2580,1410,,,145,0.006304888792560789,not_applicable,[],[]
C,C-25-POW-FULL-R3,full,POWER,B0,25,3,1.0,4179,4179,112,1.0,2804,2804,1186,,,145,0.4259268497108835,pass,[],[]
C,C-25-POW-GEN-R3,generic_tool_agent,POWER,B0,25,3,0.3749402199904352,1568,4182,112,0.8671057729562185,2238,2581,1410,,,145,8.124091529882321,pass,[],[]
C,C-50-IND-FULL-R3,full,INDUSTRIAL,B0,50,3,1.0,54599,54599,1892,1.0,55362,55362,1302,,,2026,0.03739868922749542,pass,[],[]
C,C-50-IND-GEN-R3,generic_tool_agent,INDUSTRIAL,B0,50,3,0.5900624530686251,32218,54601,1892,0.8024430270526334,47430,59107,6030,,,2026,0.577984468184567,pass,[],[]
C,C-50-IND-DET-R3,deterministic_program,INDUSTRIAL,B0,50,3,0.8948321926582,48899,54646,1892,0.9317009809623512,48059,51582,5086,,,2026,0.0009048385981737883,not_applicable,[],[]
C,C-50-POW-FULL-R3,full,POWER,B0,50,3,1.0,9006,9006,232,1.0,6296,6296,2200,,,308,0.22261071225625234,pass,[],[]
C,C-50-POW-GEN-R3,generic_tool_agent,POWER,B0,50,3,0.27134450982569114,2444,9007,232,0.5012924667651403,2715,5416,3992,,,308,3.881932924243443,pass,[],[]
C,C-50-POW-DET-R3,deterministic_program,POWER,B0,50,3,0.8564524986271279,7798,9105,232,0.8867892114756915,5162,5821,2674,,,308,0.005245729707870874,not_applicable,[],[]
C,C-75-IND-DET-R3,deterministic_program,INDUSTRIAL,B0,75,3,0.8942127503215138,73008,81645,2819,0.9311718820979402,71744,77047,7618,,,3027,0.0008619290551642676,not_applicable,[],[]
C,C-75-IND-GEN-R3,generic_tool_agent,INDUSTRIAL,B0,75,3,0.5740168677061881,46826,81576,2819,0.7866783563666566,68194,86686,10516,,,3027,0.9134092658160049,pass,[],[]
C,C-75-IND-FULL-R3,full,INDUSTRIAL,B0,75,3,1.0,81573,81573,2819,1.0,82679,82679,1980,,,3027,0.02883422346119555,pass,[],[]
C,C-75-POW-GEN-R3,generic_tool_agent,POWER,B0,75,3,0.5691219547045796,7966,13997,359,0.7661177071364739,6001,7833,5020,,,470,2.7523146593083747,pass,[],[]
C,C-75-POW-FULL-R3,full,POWER,B0,75,3,1.0,13684,13684,359,1.0,9623,9623,3342,,,470,0.13531526648934852,pass,[],[]
C,C-75-POW-DET-R3,deterministic_program,POWER,B0,75,3,0.8546440187929165,11824,13835,359,0.8861029907803013,7881,8894,4070,,,470,0.004326801506574563,not_applicable,[],[]
C,C-100-IND-DET-R3,deterministic_program,INDUSTRIAL,B0,100,3,0.8947190033435625,97672,109165,3775,0.9315462036434928,95980,103033,10138,,,4046,0.0021191385422545074,not_applicable,[],[]
C,C-100-IND-FULL-R3,full,INDUSTRIAL,B0,100,3,1.0,109067,109067,3775,1.0,110573,110573,2588,,,4046,0.025143181187092883,pass,[],[]
C,C-100-IND-GEN-R3,generic_tool_agent,INDUSTRIAL,B0,100,3,0.5678004950948932,61930,109070,3775,0.7913424453616619,93562,118232,11978,,,4046,0.2518925464861588,pass,[],[]
