source_id,target,human_scope_decision,human_workbook_row,mapping_method,raw_base102_row,raw_base102_sequence,inventory_year,pseudonymous_entity_id,industry_code,target_equipment_value,enterprise_master_present,enterprise_control_row_count
SRC-RAW-3C09BFCD06351CD8FFB3,INDUSTRIAL,include,1137,exact_semantic_signature_order,1477,22,2022,CREDIT-7906679AD7FA,1433,燃气锅炉,True,0
SRC-RAW-9C42E4DFFE5B7E5A73E5,INDUSTRIAL,include,1138,exact_semantic_signature_order,1478,23,2022,CREDIT-7906679AD7FA,1433,燃气锅炉,True,0
SRC-RAW-E7C9635944128B6A026F,INDUSTRIAL,include,1139,exact_semantic_signature_order,1479,24,2022,CREDIT-7906679AD7FA,1433,燃气锅炉,True,0
SRC-RAW-00DB71BC5665E02AD59D,INDUSTRIAL,include,1140,exact_semantic_signature_order,1480,25,2022,CREDIT-7906679AD7FA,1433,燃气锅炉,True,0
SRC-RAW-46EA471F88DB653F6D57,INDUSTRIAL,include,1141,exact_semantic_signature_order,1481,26,2022,CREDIT-7906679AD7FA,1433,燃气锅炉,True,0
SRC-RAW-9824A89653019BD2F713,INDUSTRIAL,include,1142,exact_semantic_signature_order,1482,21,2022,CREDIT-03B3A26E7B8E,2710,燃气锅炉,True,30
SRC-RAW-6096AC3477CB7B31DA41,INDUSTRIAL,include,1143,exact_semantic_signature_order,1483,22,2022,CREDIT-03B3A26E7B8E,2710,燃气锅炉,True,30
SRC-RAW-54E534C4722C1CB1E05E,INDUSTRIAL,include,1144,exact_semantic_signature_order,1484,21,2022,CREDIT-1C9C6BE0F0A8,2740,燃油锅炉,True,0
SRC-RAW-91F7B3317852EDFBCA80,INDUSTRIAL,include,1145,exact_semantic_signature_order,1485,22,2022,CREDIT-1C9C6BE0F0A8,2740,燃油锅炉,True,0
SRC-RAW-7889803B46CD3ECA0641,INDUSTRIAL,include,1146,exact_semantic_signature_order,1486,21,2022,CREDIT-F21456BF7A9E,1492,燃油锅炉,True,0
SRC-RAW-AF7C8DDEE831FF4229BD,INDUSTRIAL,include,1147,exact_semantic_signature_order,1487,21,2022,ORG-E93F98889732,1495,燃气锅炉,True,8
SRC-RAW-1AEA8EAD8B4AF21A669E,INDUSTRIAL,not_selected_for_target,,absence_from_expert_target_workbook,1488,21,2022,CREDIT-5C67B6B82FA0,2231,燃生物质锅炉,True,2
SRC-RAW-20439094AEFBE6E03410,INDUSTRIAL,include,1148,exact_semantic_signature_order,1489,21,2022,ORG-513CAD792120,3389,燃气锅炉,True,4
SRC-RAW-915BAF4B375419DEF0F9,INDUSTRIAL,include,1149,exact_semantic_signature_order,1490,21,2022,CREDIT-9CE685594356,3854,,True,2
SRC-RAW-CCE8F2E04A1964203095,INDUSTRIAL,include,1150,exact_semantic_signature_order,1491,21,2022,CREDIT-33CBD97D935D,2826,燃气锅炉,True,3
SRC-RAW-C459691C9AC7E3769F04,INDUSTRIAL,include,1151,exact_semantic_signature_order,1492,22,2022,CREDIT-33CBD97D935D,2826,燃气锅炉,True,3
SRC-RAW-B267E9BD6652E8C8BB1E,INDUSTRIAL,include,1152,exact_semantic_signature_order,1493,21,2022,CREDIT-C6EEC3CD588F,2720,燃气锅炉,True,0
SRC-RAW-2E90FC9929024E738649,INDUSTRIAL,include,1153,exact_semantic_signature_order,1494,22,2022,CREDIT-C6EEC3CD588F,2720,燃气锅炉,True,0
SRC-RAW-93A1C24D82AABCCC0BD9,INDUSTRIAL,include,1154,exact_semantic_signature_order,1495,21,2022,CREDIT-A68CA9706C4D,3351,燃气锅炉,True,2
SRC-RAW-0B5C43EE7BC4260C29A0,INDUSTRIAL,include,1155,exact_semantic_signature_order,1496,22,2022,CREDIT-A68CA9706C4D,3351,燃气锅炉,True,2
SRC-RAW-1B6DC090B32C210D9629,INDUSTRIAL,include,1156,exact_semantic_signature_order,1497,21,2022,CREDIT-94647797B53D,2319,燃气轮机,True,3
SRC-RAW-FB099E374051B5BA8736,INDUSTRIAL,include,1157,exact_semantic_signature_order,1498,22,2022,CREDIT-94647797B53D,2319,燃气轮机,True,3
SRC-RAW-4D0E0F063FB279D41A2A,INDUSTRIAL,include,1158,exact_semantic_signature_order,1499,23,2022,CREDIT-94647797B53D,2319,燃气轮机,True,3
SRC-RAW-DBB94B6A83D65F230EAB,INDUSTRIAL,include,1159,exact_semantic_signature_order,1500,24,2022,CREDIT-94647797B53D,2319,燃气轮机,True,3
SRC-RAW-2B78AABB9D2753CB0FBD,INDUSTRIAL,include,1160,exact_semantic_signature_order,1501,21,2022,CREDIT-CDE9C833C3F8,2223,燃油锅炉,True,1
