parameter_id,sector,department,fuel,combustion_technology,pollutant,mode,value,unit,capacity_condition,source_section,physical_pdf_page
E-MM-LPG-GASBOILER-OC,工业源,采矿业和制造业,液化石油气,燃气锅炉,OC,constant,0.05,g/kg燃料,,附录E 表E.7,54
E-MM-REFGAS-GASBOILER-CO,工业源,采矿业和制造业,炼厂干气,燃气锅炉,CO,constant,0,g/kg燃料,,附录E 表E.7,54
E-MM-REFGAS-GASBOILER-NOX,工业源,采矿业和制造业,炼厂干气,燃气锅炉,NOX,constant,0.53,g/kg燃料,,附录E 表E.7,54
E-MM-REFGAS-GASBOILER-SO2,工业源,采矿业和制造业,炼厂干气,燃气锅炉,SO2,constant,0,g/kg燃料,,附录E 表E.7,54
E-MM-REFGAS-GASBOILER-VOCS,工业源,采矿业和制造业,炼厂干气,燃气锅炉,VOCS,constant,0,g/kg燃料,,附录E 表E.7,54
E-MM-REFGAS-GASBOILER-PM25,工业源,采矿业和制造业,炼厂干气,燃气锅炉,PM25,constant,0,g/kg燃料,,附录E 表E.7,54
E-MM-REFGAS-GASBOILER-PM10,工业源,采矿业和制造业,炼厂干气,燃气锅炉,PM10,constant,0,g/kg燃料,,附录E 表E.7,54
E-MM-REFGAS-GASBOILER-BC,工业源,采矿业和制造业,炼厂干气,燃气锅炉,BC,constant,0,g/kg燃料,,附录E 表E.7,54
E-MM-REFGAS-GASBOILER-OC,工业源,采矿业和制造业,炼厂干气,燃气锅炉,OC,constant,0,g/kg燃料,,附录E 表E.7,54
E-MM-CONVGAS-GASBOILER-CO,工业源,采矿业和制造业,转炉煤气,燃气锅炉,CO,constant,1.3,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-CONVGAS-GASBOILER-NOX,工业源,采矿业和制造业,转炉煤气,燃气锅炉,NOX,constant,0.13,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-CONVGAS-GASBOILER-SO2,工业源,采矿业和制造业,转炉煤气,燃气锅炉,SO2,constant,0,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-CONVGAS-GASBOILER-VOCS,工业源,采矿业和制造业,转炉煤气,燃气锅炉,VOCS,constant,0.05,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
